42 62417 3197 7 0.47
41 64414 3146 5 0.33
40 66664 3225 7 0.47
39 64545 3142 6 0.40
38 63157 3057 7 0.45
37 64009 3096 7 0.46
36 65099 3130 9 0.59
35 70935 3524 12 0.89
34 69239 3507 20 1.47
33 69413 3430 10 0.72
32 67925 3298 36 2.49
31 66322 3316 21 1.46
30 70847 3610 20 1.52
29 70844 3578 25 1.88
28 70305 3613 23 1.75
27 70305 3613 23 1.75
26 66747 3435 19 1.37
25 65847 3520 26 1.92
24 62270 3167 32 2.13
23 67852 3599 23 1.74
22 70776 3830 48 3.86
21 71491 3983 45 3.76
20 68360 3830 42 3.38
19 60857 3356 38 2.68
18 51676 3099 25 1.63
17 51028 2939 31 1.91
16 51964 3009 31 1.96
15 52190 2886 18 1.09
14 52203 2842 16 0.95
13 49616 2633 18 1.00
12 48134 2503 21 1.10
11 45338 2422 56 2.85
10 42982 2317 31 1.51
9 42503 2300 12 0.58
8 42125 2294 22 1.06
7 42900 2341 18 0.89
6 42234 2268 10 0.48
5 39916 2220 21 0.98
4 39630 2217 9 0.42
3 41679 2467 10 0.52
2 41267 2468 31 1.61
